000001;00001;D;00000050000;00000150000;00000200000;20260704
000002;00002;S;00000010000;00000087550;00000077550;20260704
000003;00003;P;00000002000;00000005000;00000003000;20260704
000004;00004;S;00000030000;00000250000;00000220000;20260704
000005;00005;D;00000025000;00000000000;00000025000;20260704
000006;00006;P;00000010000;00000032000;00000022000;20260704
000007;00007;S;00000050000;00000120000;00000070000;20260704
000008;00008;D;00000075000;00000065000;00000140000;20260704
000009;00009;P;00000002500;00000007500;00000005000;20260704
000010;00010;S;00000020000;00000180000;00000160000;20260704
000011;00011;D;00000010000;00000040000;00000050000;20260704
000012;00012;P;00000005000;00000099000;00000094000;20260704
000013;00013;S;00000002000;00000003000;00000001000;20260704
000014;00014;D;00000030000;00000145000;00000175000;20260704
000015;00015;P;00000010000;00000025000;00000015000;20260704
000016;00001;S;00000025000;00000200000;00000175000;20260704
000017;00002;D;00000040000;00000077550;00000117550;20260704
000019;00004;P;00000050000;00000220000;00000170000;20260704
000020;00005;S;00000001000;00000025000;00000024000;20260704
